,movies,full_situation
47,"['Wasp', 'Black Panther', 'Ant Man', 'End Game', 'The Watch']"," Nope. I chose not to watch it because I missed the first one. Hello! I am here to help you look for a movie trailer! I didnt realize they werent! Not even Ant Man and Wasp? Yes I did. It was great! I would love a panther movie from the past, like earlier in Wakanda's timeline I love all of those! Though Marvel movies have been better the last few years than DC I have seen many DC movies but love Marvel! Have you seen Endgame yet? You should definitely check out the first one! Its an amazing story of a man tries to turn his life around because of his little girl. Its a little different than the other marvel movies but so good! Sounds good! I will definitely watch it. I like fantasy action/adventure movies What kind of movies do you like? Lol!! I almost cried during that scene too! Yeah they aren't on there. I guess the problems between Disney and Sony kept them off but I'm not completely sure why. I wish the spiderman movies were on Disney+ Yes. The scene where all the supers came back made me teary, but when they showed spidey, i full on cried lol Hi! I'm looking forward to watching something new. What do you recommend? I haven't seen Ant-Man yet, or the Guardians movies That would be awesome!! I think one of my favorites is Ant man Oh I do too!! Are you interested in marvel or DC or more like Harry Potter? Thats sad. Have you seen the Black Panther movie?"
48,['Ford v Ferrari']," Hi how are you? I am good and you? i am doing good, do you want to talk about movies? Sure! what's the last movie you saw?"
49,"['Ride Along', 'Hulk', 'Night School']"," Oh no way! Are there any superheroes i would recognize? I would hate to waste my time on some no name D list movie. Kevin Heart is my favorit Good, just Watching a movie. Iron Man, Spider Man, Hulk, Thor, Captain America and many many more! Avengers. I love all super hero movies! What abouty you? What actors do you like? Oh it's marvel! I'll have to pass on that one. Do you have any recommendations for a comedy? hey how's it going? I like a lot of them but DC seems to disappoint me a lot. What is the Avengers about? Don't think i have seen that one yet. Same here. The Avengers is a team of super heros who band together to fight an evil vilian who tries to distory the world. He is super funny! Do you have a favorite of his films? My daughter love the movie Secret Life of Pet 2 which he is in. It's a really cute kid movie. I really like the movie Ride Along. It'sreally funny. Oh really? Which one? I'm actually looking for something decent to watch right now. Oh gosh i like a lot of them. Do you have a favorite you could reccomend? hello!!! I have actually seen both of those already, any others?"
50,"['Le Mans', 'movie', 'A Beautiful Day in the Neighborhood', 'Christian Bale', 'Matt Damon', 'Ford v Ferrari']"," Okay, so you have wide taste, that makes it pretty easy. Have you heard of A Beautiful Day in the Neighborhood? That's what I thought after you started looking into it lol. I loved Mr. Rogers and watched it all the time when I was a kid...now I'm dating myself. I'm actually interested in that movie so I think this is a great recommendation. Hi there, great! It depends on the time. I like horror, thrillers, drama, family movies, some comedy. Not that crazy slap stick stuff, but more sarcastic humor. No I haven't. Who is in it? Yeah, Tom Hanks is great. So, in general, what types of movies to you most like? Sully Great, would you be interested in seeing a trailer No, I remember the trailer that I saw once. I just couldn't remember the name of the movie. I really appreciate the recommendation and think it's a great idea to see. Did you enjoy it? What was the latest movie you've seen in theaters Hello, I am here to help you find a movie trailer Yes I did. It was a great movie and I really like Tom Hanks. Tom Hanks, that's why I thought I'd suggest it. I don't know if you've heard of Mr. Rogers (from the childrens show), but its a movie about him and Tom Hanks is playing him"
51,"['El Camino: A Breaking Bad Movie', 'crime', 'documentary', 'story', 'Split', 'Goodfellas', 'drama', 'comedies', 'musical', 'songs', 'The Irishman', 'Get Out', 'South Park: Bigger, Longer & Uncut', 'Movie', 'The Godfather', 'thriller', 'Breaking Bad']"," OOOO im totally afraid of that one. It seems like a very serious movie. Is there like an intro type of horror movie for peeps such as myself? Those are all great movies and seen them all several times. I do like documentary's too! I recently saw one about the foods we eat. I don't remember the name but was very captivating. Do you like documentary's? I understand what you mean. I look at the old James Bond movies and laugh on how fake the fight scense look. Is there a fight scene you like in a particular movie? I don't really watch movies with fight scenes. So you would want to watch IT? Yes, I do! I like documentaries that focus around mysteries. Ever since I was a baby, my mom would always be watching true crime documentaries and shows. That's probably why! Do you like true crime? Hello! I'm here to help you with finding a good movie! What are some of your favorite movies currently? I guess the old 80's IT would be an example of that. It was never intended to be a comedy. But watching it today, you're sure to get a good laugh at Pennywise! That's a good movie! Do you want to watch something similar to that? I don't watch comedies as much as horror movies, but my favorite would probably South Park: Bigger, Longer, Uncut. It's a musical but all the songs are amazing. I remember when I was a kid I watched it with my mom, and we still quote it every day several years later! On top of that, its a great commentary on censorship, commentary that still holds up 20 years later. Would you be interested in that? So you enjoy realistic movies? If you're looking for a crime/drama like The Irishman, I'd recommend Goodfellas, The Godfather, or El Camino: A Breaking Bad Movie. Or do you mean a non-fiction movie, like a documentary? Totally like them! Its amazing how they find the criminal and how they go about it. I don't like movies which are violent. Not into seeing others in pain nor want to see blood spattered which is why I have not been watching more of the true crime documentary's recently. How about you, do you like horror and gory movies? I would recommend Get Out. Would you be interested in that? Sure, I enjoy movies which tell the story of real life, what do you have in mind? They sound interesting and totally worth the look. What other kinds of movies are you interested in? I'm a 56 yr old man so I can get into some of the older movies. Especially comedies! Have any favorites? How about Split? Its about a man with 23 personalities that kidnaps 3 girls. It was my first horror movie. It's more of a thriller and not so much a gore fest. Or, the original 80's IT is pretty good as well. It's quite a long one, but it is a good story. It's also not quite as scary as many of the other horror movies. Would you be interested in either of these? I do. I like the classic horror movies such as Scream and Texas Chainsaw Massacre. I like being scared when I watch movies. However, I just don't find them scary.I think stories are the most important part to a movie, however others I talk to seem to disagree.What about you, what do you value the most when it comes to movies? I love south park and another slam dunk! Its fun to watch someones commentaries on current events with a little comedy in its thread. I did like the Mel Brooks movies in the day. I remember my Father and I laughing till it hurt watching those movies. So is there a movie that you like which is a blend between horror and comedy? Hi, i like to see the Irishman I agree with you that the stories are the main ingredient in a movie. What horror movies have good stories. And can we please move this a little faster. Sure I will give it a try. Keeping the remote nearby!"
52,"['movie', 'Gabriela', 'Terminator: Dark Fate', 'Arizona', 'Rambo: Last Blood', 'dark', 'Rambo', 'Arnold']"," Sounds like a very good movie and the story is pretty good. I accept your recommendation. Do you have any other action movie that you suggest? Arnold Schwarzennger and Lisa Hamilton It's a good movie but the first Rambo is a all time classic in my eyes. Vietnam War veteran John Rambo tries to find some semblance of peace by raising horses on a ranch in Arizona. He's also developed a special familial bond with a woman named Maria and her teenage granddaughter Gabriela. But when a vicious Mexican cartel kidnaps Gabriela, Rambo crosses the border on a bloody and personal quest to rescue her and punish those responsible Which of the movies that you mentioned has the better plot? What is Terminator Dark Fate about? I agree. I liked the original Rambo a lot. Can you tell me a little about the plot in Rambo Last Blood? I'm a big fan of Arnold Schwarzennger and I do accept your recommendation. Do you have any other action movies? Terminator dark fate is a great movie. Rambo Last blood Yes I am. What are some good action movies? How does this Rambo movie compare to previous movies of this series? Thanks. Who is staring in this movie? not at this time a newly modified liquid Terminator -- the Rev-9 model -- arrives from the future to kill a young factory worker named Dani Ramos. Hello, are you looking for a movie tralier?"
53,"['Fantastic Beasts and Where to Find Them', 'Annabelle', 'Fantastic Beasts: The Crimes of Grindelwald', 'Harry Potter', 'The Nun']"," Have you seen the other Conjuring films? Have you seen Fantastic Beasts and Where to Find Them> i like horror movie You should check out The Curse of La Llorona. It is a horror movie about an evil spirit who kidnaps children. It is part of the Conjuring universe and connected to Annabelle and The Nun What types of movies are you into? I am a big fan of drama, action, and horror Yes, I've seen all of them Awesome! Me too! What was the latest movie you watched, and what did you think about it? yes i feel more enjoy to seen tha movie It is a spinoff of the main Harry Potter movies. It takes place 70 years before Harry Potter and is about a secret society of witches and wizards. It's very entertaining and fits well with the other Harry Potter films. I think you would enjoy it a lot. yes tell about the movie yes i saw the none movie i am a big fan of the movie I saw that as well! Very nice addition to the Conjuring series yes are you seen harry potter movie Hello partner! hi tell about yiours annabell movie is very interesting movie yes it is very amazon"
54,"['Wonder Woman', 'Maleficent', 'fantasy', 'actress', 'Angelina Jolie', 'Bridge to Terabithia', 'series', 'Harry Potter', 'action']"," I enjoy movies in the fantasy genre or action Awesome! What kind of movies do you typically enjoy watching? Yes I would like to be recommended a movie Yes I've seen all of those A similar type of movie is Maleficent. Angelina Jolie is the main actress and she does not disappoint. That sounds interesting. Is there a movie that's similar but an older release? Hello! Do you need assistance with finding a movie trailer? If you like fantasy and female leads, you will LOVE Wonder Woman! It has a great blend of fantasy and action. Would you like to watch the movie trailer? I have seen the first but not the second. Is there anything similar to Maleficent? I enjoy female leads I am always impressed with Harry Potter! Have you seen the series?"
55,['Night School'], what kind of movies do you like Usually i like funny movies.
56,['Paws']," Yes, I just got a new streaming service, Disney Plus. What's a good Christmas movie to watch? Its plenty of kid friendly. Would you like to know what it is about? Yes, tell me more please I am here to help you look for a movie trailer. Hi hello Santa Paws is a very good movie. If this recommendation is no one, is there a specific type of movie you are looking for Oh that sounds good. Is it kid friendly?"
57,"['Good Luck', 'Crazy Rich Asians', 'Happy', 'The Proposal', 'Sandra Bullock']"," That sounds interesting thank you. My girlfriends and I loved Crazy Rich Asians. Would you be interested in that film? I did! It was really cute, although it was weird to see Emilia Clarke without the Game of Thrones blonde wig :) Do you prefer classic movies or are you looking for something new? that is true . No problem :) I wish more rom coms were in theaters now. Everything in the winter tends to be kinda dark... The Yes I agree thank you! and for a good rom com night you can never ever go wrong with the 80's movies like when harry met sally Happy watching! I like rom coms Hi! What kind of movie can I help you find today? That sounds perfect. Last Christmas is also very cute if you haven't seen it Thanks again for the movie recomendations you're welcome! The Proposal with Sandra Bullock is also great. something new I've seen it Oh I really like that one thanks for reminding me of it. The Guernsey Literary and Potato Peel Pie Society is also fantastic but it's also more of a romantic drama."
58,"['Amber', 'Interstellar', 'FX']"," Hello I am Amber what kind of movies do you like Amber hello i am ben I like sci-fi and action. I am looking for a recommendation Do you like aliens Jupiter Ascending is a really good one I seen recently Somewhat, I don't like really off the wall stuff. I prefer it to have some reality to it. What movies have you seen lately that you enjoyed"
59,"['moving', 'Joker', 'acting', 'Maleficent']"," I heard that was gonna be a good movie also Something with good conversation. I like dialogue. We went and saw Joker last week. It's a pretty slow moving movie but I enjoyed the story. Hey whats up? I going to catch a movie tonight. Do you have any recommendations? She also likes Angelina Jolie. Have you seen Maleficent? They say he went a little nuts getting into the Joker role. But all the past Joker's have said the same thing. Is this a good film to take the gf? Or should I save it for boys night out? It was pretty good. Great acting. It gave a more details into what makes the Joker the way he is. What's the best movie you've seen recently? Hello It Depends on If she likes movies like that, I'm a girl and I think I enjoyed the back story of the Joker more than my Husband. Yeah. Everyone is raving about the acting. No not yet, It's been pretty busy with the holidays. But We are planning to go see Maleficent, we heard it was a very good movie. Last I saw Joequin Phoenix, he was going nuts on Dave Letterman. What kind of movies do you enjoy? I was thinking of Charlie's Angels too. The gf and her two friends used to be called that in high school."
60,"['superheros', 'Batman Beyond: Return of the Joker', 'Batman']"," I usally like supherhero movies So a Batman fan I see.. What other superheros do you like? for me it was 1 Same, I love Robert Downey Jr.'s acting style and persona. mmmm iron man was good Who's your favorite superhero? yes he is very good actor dark knight Hello, how are you doing? What type of movies do you prefer? Definitely! Which one was your favorite? 1, 2, or 3?"
61,"['thriller', 'Unbreakable', 'mystery']"," yes i do.I agree could i recommend a couple movies for you? I like thrillers, mystery, and romance. What type of movies do you like? Do you like animal documentries? I like to watch wildlife documentries because they are so natural. I like comedys some documentaries i like to learn new things. I am good how are you doing today? im good.im curious what kind of movies you like ? hi how are you? yes what type of movies would you recommend"
62,"['movie', 'Deadpool', 'Dark Phoenix', 'Deadpool 2']"," Good afternoon. I'm here to help you look for a movie trailer. yes I saw both What is the last action film that you watched? yes i thought it was a very good movie, funny too. hi can you recommend a action movie? Are you looking for a similar plot or something a little different? a similar plot deadpool Did you see both Deadpool 1 and Deadpool 2? I remember you saying that you like action and marvel. I have a recommendation for you. I remember Deadpool being a Marvel movie, and it was good. ok what is it?"
63,"['Star Wars', 'Terminator']"," Yes, I like how the heroes travel all over the universe. Hello, I am here to help you looking for a movie trailer Ok great! I'm just gonna ask a couple of more questions. What is the last movie that you watched? Do you know what kind of movie trailers you would like to see? Yes, I am looking for a movie recommendation. I would like a movie with a similar story yes. Do you want a movie with similar story or a different one? The last movie I watched was Star Wars Episode III Sorry I meant to type Tron Legacy. Have you heard of that movie? Jeff Bridges is in it Probably something action oriented. By the way wow I love that Star Wars movie. It's such a classic I have see Mad Max Fury Road. That was a pretty good movie. Yes I saw Tron Legacy as well. Very futuristic environment. Have you seen iron legacy or mad max fury road?"
64,"['Bruce Almighty', 'Ace Ventura', 'Ace Ventura: When Nature Calls', ""Mr. Popper's Penguins"", 'Nature Calls']"," I've seen that movie. I love Jim Carey movies. He is such a funny actor. Oh, you are talking about Ace Ventura: When Nature Calls. That is a pretty funny movie as well. I didn't like Pet detective Jr movie that much. I completely agree. Have you seen Ace Ventura? If not, I recommend watching it. Hi! What kind of movie did you feel like watching? Yes, I have seen Bruce Almighty, that one is also pretty funny Something about Nature, I can't recall the full title and then he mentioned a Pet Detective JR but I think he also said that Jim Carey isn't in that I feel like watching a comedy I've seen Ace Ventura Pet Detective but my boyfriend mentioned a few different ones that I haven't heard of or seen before He is such a good actor, I was laughing so hard when watching it. It seems that be funny is something that just comes naturally to him What's the last comedy you have seen? Really? Which ones? I watched Liar Liar over the weekend I thought it was funny, but I'd have to agree that it was not AS funny as the first one. Have you seen Bruce Almighty? That one is pretty funny as well. Yes, When Nature Calls! That's the name and my boyfriend said he didn't like it that much as well, said it wasn't as funny"
65,"['Paycheck', 'action genre', 'sci fi']"," its my favourite :) are there any others youve watched like it? uhh id say sci-fi films like interstellar if youve heard of it? yes i do, like the butterfly effect? What was it called? Hi hi yaa.. i like it too.. I saw a movie recently related to time travel technology. do you like those kinds of movies what genre you mostly enjoy?"
66,['Bedtime Stories']," Crazy Rich Asians, Moulin Rogue, Kill Bill Hi. I am looking for a movie to watch. Yes, I like Quentin Tarantino movies I've got some ideas now. While I'm thinking, what are your top 3 favorite movies off the top of your head? Romantic comedies, dramas, comedies A great list, for sure. How do you feel about a little adventure mixed in? Rupert Friend, Benedict Cummberbatch, Henry Golding, Drew Barrymore, Adam Sandler 50 First Dates was awesome. Maybe a reason to watch it again. It has been awhile since I saw it Hello! No problem! Are there any particular actors or actresses you tend to prefer? I think I can help with that. What kind of movies do you like? Are you a big fan of Quentin Tarantino? It hadn't occurred to me until you mentioned Kill Bill, but Django Unchained is a pretty great adventure movie whose plot is ultimately driven by romance. Have you ever seen it? Sure, I like adventure movies I don't remember, but it sounds like something I would like to watch or rewatch. I think that is a great recommendation. Thanks so much! I will be sure to watch this movie next Awesome. It's my personal favorite among the Tarantino films. If you're interested in something on the opposite side of the drama factor, 50 First Dates has Drew Barrymore and Adam Sandler in it as well."
67,"['animated', 'voices', ""National Lampoon's Christmas Vacation"", 'Cumberbatch', 'The Grinch', 'Home Alone', 'Arthur Christmas']"," yes - are there any that is as funny and heart warming as ELF? Hi! What kind of movies do you like? I can watch ELF all year long. oh! yes I haven't seen that! Can you show me the trailer? Christmas - since its the season LOL! It came out last year Oo a lot of pressure haha. I'm sure you've seen Home Alone? I saw that one and didn't really like the adult references in the movie - I'm looking for a movie to watch with my young kiddos Yeah, it's a little bit of a musical too Ohh gotcha. How about the new Grinch movie? ok great and who is starring in that? I haven't seen any of the latest ones. How about National Lampoon's Christmas Vacation? sorry - typo. Do you know if the Grinch movie was released this year? Yeah sure Do you recommend anything else? Maybe I should watch 2 trailers to compare? great - so I assume it is rated PG? Oh very nice haha, me too I've have seen Home Alone - but maybe just the first few. Is there a latest Home Alone out there? Well it's all animated and Bendidict Cumberbatch voices the Grinch Same here. Will Ferrel is great. Do you want to watch a Christmas movie trailer then?"
68,['Aquaman']," I know you said you loved comic book type movies, so I think it will be right up your alley Yes I would watch the trailer for Aquaman :) I haven't seen that movie yet and have been wanting to watch it so very bad. I know I will love it! I recently just saw Aquaman the other night and thought it was a really cool movie. Funny, suspenseful and kept me glued in. I bet you would love that movie also by the types of movies you like. Would you want to watch that movie? So you would probably like to watch the movie trailer on this movie also? It will make you want to watch it even more. I am interested in Disney movies, comic book movies, action-films, and comedies. Yes, I would love to watch Aquaman! I'm a huge DC universe fan and I really like how he's getting his own origin story. I'll accept your recommendation and watch it this weekend. Thank you so much! Very well, thank you! I have a question for you...what type of movies are you into? Yes will, its really great! By the way, do you have any movie recommendations for me to see? Yes, it would. I will be watching the trailer now. Hello, I am good and you? That's great! The last movie I saw was Avengers Endgame. I liked that it brought together all the Marvel heroes from the different universes to fight for a common cause. The only thing I did not like was the limitations placed on Captain Marvel's superpowers. Hello, how are you this evening? I love all of them also. Awesome! What was the last movie you watched..what did you like or didn't like from it?"
69,"['21 Bridges', 'action']"," what kind of movie did you watch last I am here to help you looking for a movie trailer yeah, I like action movies, comedies, thrillers, suspense, also movies that make you think Hello The last movie I watched was hustle and flow it was on my mind to watch again hey"
70,"['12 Years a Slave', 'Here']"," So you are going to watch the movie trailer? Was there anything about the movie you didn't like? I would like to suggest Harriet I will check out this movies thanks What did you like from that movie? I liked the movie because it has so much history Hello, I want to make a movie suggestion for you. Yes. I like the movie recommendation I think you would also enjoy 12 Years a SLave. It is a more accurate telling of slavery from that time period. It has won numerous awards for Best Film. Awesome, this must be a really good movie I did not like how they treated the slaves"
71,['Tag']," Hey, I am doing good. How about you? I was looking for a new movie to watch actually. Would you have any good recommendations? Last movie I was watching was actually a tv series called Falling Skies. Good to hear, good here too. Both good genres, what was the last movie you watched. What types of movies do you like? That sounds good. I'm not familiar with that one. It's about aliens that invaded Earth. I think it was directed by Steven Spielberg. Sci-fi, Comedy, normally something along those genres are my favorites. Hi how are you today It is pretty interesting. I have been enjoying it."
72,"[""There's Something About Mary"", 'The Truman Show', 'comedy', 'Mary']"," I'm good. Just came back from the theatre. I hear you need some help in selecting a movie to see. I don't remember Brett Favre. I think the movie was a bit crude, if I remember. That's not really my thing. It is a biography. But its funny. Well, along the lines of the last one, there is A beautiful day in the neighborhood. Its about Mr. Rogers. What type of film do you usually like? Well then by all means stick with a beautiful day in the neighborhood. You love it. Nothing crude about it. I have several genre's that I like. I enjoy comedies that aren't silly dumb. I also like everyday neighbor type movies. I would indeed. I was hoping that you may have some ideas on a good movie to see. It sounds like something that I would enjoy. I will accept your recommendation. Hmmm. Who is in that one? Yes. Matt Damon and Bed Stiller too. A cameo by Brett Favre is also in there. Do you have any other ideas for being at home? I do like to have options. Cool. But before you go...I just rewatched There's something about Mary. Its a classic comedy...if you want to stay at home. He had a famous childrens show for a while. But he was apparantly a really interesting person in real life. It got great reviews and stars Tom Hanks. Oh, I usually like Tom Hanks. I remember a little bit about Mr. Rogers. Is it a comedy or more of a biography? Hey, my friend. What is going on? Hello! Just preparing everything to go back to work tomorrow. How about you? Is that the one with Cameron Diaz?"
73,"['Bette Davis', 'Return from Witch Mountain', 'Escape to Witch Mountain']"," Yeah and I also like animated movies Hi ya, what movies have you watched lately? I think I only saw the remake of that one, maybe I should watch the original I will check that one out then If I recall that movie was made in the 60's it still holds up today for sure! I remember the Witch Mountain movies, those were pretty good. Nice is that the kind of movie you prefer? The first one was Escape to Witch Mountain, it came out in 1975. I like old movies. The last one I watched was the disney movie That Darn Cat and it was great Disney made some good live action movies in that era, but I like all kinds of disney stuff"
74,"['Helen Mirren', 'The Good Liar']"," yes i went last friday to see knives out I did. it was very interesting and kept me thinking the whole time. Have you seen it? I have not but it looks very good. I like comedies and that seems to have some funny one-liners in it I am good, how are you doing? Hi there! How are you today? oh wonderful! did you enjoy it? I'm well thanks, just trying to keep warm. Was just thinking about the cozy chairs in the last movie theater I was in. Have you been to a movie recently? it does have some good one-liners in it. I am a big fan of mysteries, and trying to figure out what happened throughout the movie."
75,"['animation', 'Wonder', 'animated', 'Action', 'Incredibles 2', 'The Incredibles']"," I would say that it could be slightly emotional, but it is a great movie to watch with the family for sure. So many lessons taught and important ones too! Have you seen the movie Wonder? It is a about a boy who had facial differences that didn't allow him to go to a normal school, and as other people around him struggle, he is the glue who holds it all once he gets into the fifth grade no. I haven't. Is both the stories connected. Or like second part is continuation of the first part.? Slight humor works fine. Is it good to watch with kids? It has a slight humor taste but nothing major. Is that what you look for when searching for a movie? Ah sorry, I'm not too well endowed with Romantic movies. What other genres do you like? Have you seen Incredibles or Incredibles 2? Definitely one that incorporates the whole family and is a blast to watch with kids. Action, with humor, and overall great. I definitely could. What are other things that you look for in movies? Ok. I accept this movie recommendation. Hi! I am here to recommend a movie to you! What types of genres do you like? Yes. before that do you have any other suggestion? one more family oriented movie. I have heard about the book. Haven't watched the movie. From details it looks very emotional. Does the movie have humor element? So would you like to watch the trailer? some romantic new movies? Hi, Thanks for being here. I like family dramas."
76,"['I Love You', 'Stripes', 'Caddyshack']"," Yes I'd like a recommendation for a movie. What kind of movie are you looking for? What is your favorite comedy? I think you might like Caddyshack. I've seen that before and it's really good. It stars Bill Murray, and is a comedy about him and his friends joining the army. Yeah that sounds good. If you liked Caddyshack, you might also like Stripes. Yeah for sure Yeah thanks for the recommendation. So would you like me to recommend a comedy that is similar to that movie? I've never seen Stripes before. I think I'll choose that one. Would you like to watch the trailer? Hi! I am here to help recommend a movie to you. I really liked Adam Sandler in Happy Gilmore I really like comedies."
77,"['Lucy Hale', 'cast', 'Younger and Younger', 'Truth or Dare']"," Wow thats crazy lol Nice! What was the last movie you watched for either horror or comedy (unless it was a horror comedy)? I think this one might be worth a shot if you are ready? LOL! I was curious if you liked the psychological aspect or just straight up horror more? The last horror movie I saw was called Haunt. It was about a group of college kids that go to one of those halloween haunted houses but it turns out that the stuff happening in it is real. Really good flick I am good, thanks! What movie genres do you like? That would be great. Its hard to find a decent horror movie these days Lay it on me, let's see what you got I was thinking about Haunt and the younger cast and a movie with a bit of twist. Yep I'm ready That sounds really interesting. Is that the type of movie you would like to see a trailer on today? I'm good. How are you? I know what you mean. The lead in that was also on American Idol, which is a neat trivia tidbit! I like all kinds but my favorite genres are horror and comedy That sounds exactly like what I would like. The tough part is finding a good one I was thinking of a trailer that I thought might fit your interests. I like both, but I think I'd like straight up horror more. Good evening! How are you? I would love to assist you with finding a movie trailer."
78,"['Jordan Peele', 'Antebellum', 'Get Out', 'The Birth of a Nation']"," Hello, happy Monday! What's the last movie you watched? I recently saw a trailer for a movie called Antebellum. I think it may be a Jordan Peele film? I'm not sure but it gave me Get Out and Us vibes. I'd recommend you check out the trailer if you haven't seen it yet. YES. I feel like I keep saying everything is pretty good...but the movie trailer looks amazing I saw the trailer for Knives Out recently, that looked pretty good. What about you? Ooo, that's kind of a scary zombie sort of movie isn't it? Did you enjoy it? That's cool, I'll have to add that one to my list. Have you seen any good movie trailers lately? Anything exciting coming out? yes! it was pretty good! Happy Monday :) last movie I watched was Train to Busan Haha, it really does look amazing! This conversation makes me want to go watch the trailer again. Do you think you'll end up watching it again today? Yes, I think I will---thank you for your recommendation."
79,"['Commando', 'Avengers: Endgame', 'super heroes', 'action movies', 'action']"," If you have already seen Avengers: Engame, would you like me to recommend a different movie? You would like to see a trailer for Jumanji The Next Level? Or is this another movie you enjoy? It sounds like you're really into action movies. Have you seen any classic 80's Schwarzenegger movies? They are a lot of fun, but a bit dated nowadays. Since you like Iron Man and action movies, I would recommend Avengers: Endgame. It includes Iron Man as well as a slew of other super heroes all teaming up to fight a common enemy. It's very exciting and fun. Would you like to view the trailer? action and fun movie Have you seen any classic 80's Schwarzenegger movies? no sir Well, there's no doubt that action movies are a lot of fun and can tell a good story as well. What sort of movies do you like? That's a good movie! Are you into superhero movies in general? or just that one in particular? nice movie Would you like to watch a trailer for Commando? It is ridiculous. It has tons of action and some humor too. iron man1 jumanji the nex level Have you seen any more recent movies that you enjoyed? Hello! How are you doing today? ironman It sure is. I was on the edge of my seat the whole time. I think Robert Downey Jr. was excellent in it. As was Scarlett Johanssen. Downey is a good actor spiderman home coming avengers endgame is a super movie action and some humor movie yes"
80,"['crime', 'mystery', 'Lucy', 'Vantage Point', 'Owen Wilson', 'Sigourney Weaver', 'Wedding Crashers']"," Oh, yes! Or Wedding Crashers with Vince Vahn and Owen Wilson as well. Both classics! He is sooooo great!!! One of my favorite actors Hi! How are you? I am here to help you look for a movie trailer. What is the latest movie you have watched? Both of those genres are awesome.. I'm doing well. Thank you. Well I recently watched Equalizer 2...I love all the John Wicks. I'm been wanting to watch the movie Lucy with Scarlet Johanson. n I haven't seen Equalizer 2, but it sounds very good! Lucy also is on my list of movies to see. What did you like about Equalizer 2? haha, yes. now we are on the same page. I also like Alec Baldwin in The Departed with Leo. That movie is great.\ umm...Denzel is AMAZING :) I like pretty much all the movies he's in. Great! What type of movies do you like? yes, I like the movie: Book of Eli, with Denzel. He is very talented. I also like comedies. Like...Internship with Vince Vahn and Owen Wilson. Those two are classic. I like action and comedy the most. I'm easy because I can like all types."
81,"['127 Hours', 'The Lego Movie', 'Aladdin', 'animation']"," i heared good about lego movie Hi there, I'm here to help you pick out a movie trailer to watch! oh wats the run time of the movie I love animation too! Have you watched the new Aladdin? Whats one of your favorite movies? edge of tomorrow ,animation the lion king .incredibles would you like to watch the movie trailer? its a great movie, very funny! can you tell me more about aladdin movie ya i need some recommendations.i am bored now what kind of movies do you like? no i didnt watched it Yeah! it's it's like the original but with live people and Will Smith as the Gene. Hes hilarious. great music as well i like animation ,action ,comedy movies I really like will smith! Another great one is the Lego Movie, have you seen that one? that's one of my favorites"
82,"['Joker', 'Doctor Sleep']"," That was a great movie Is that a remake or a sequel? Yeah, I think that I will check that out soon if it's still in theaters, thanks! Okay. Which one do you think would be a better choice for me, Doctor Sleep or The Grudge? I haven't really had good luck with remakes lately Oh I did see that I think it was the best movie out this year, I really loved it. Do you have any recommendations of things along that line? Have you heard of any other thriller-type movies supposed to come out in 2020? I'd also like to check out one of those Great, I hope you like it how about Doctor Sleep I am a big fan of horror movies and dark psychological thrillers yes, the new movie Joker The last horror movie I watched in theaters was It 2 I thought it was just ok, but I do like a lot of Stephen King adaptations usually what is the last movie you seen for horror it is a remake Hello, What times of movies do you like to watch Do you know of any movies that have dark themes without a lot of jump scares? The grudge got it"
83,"['Pacific Rim', 'Cloverfield', 'Godzilla']", Godzilla is a good movie. I like it too. Hello. What kind of movies do you enjoy watching? What are you doing? Hi Godzilla Hello. I am here to recommend a movie for you today. What kind of movies do you enjoy watching?
84,"['Batman', 'Everyone', 'Netflix', 'Avengers: Endgame', 'The Irishman', 'crime dramas', 'action movies', 'Joker', 'superheroes']"," I have not seen that movie yet. I will have to go check it out then very soon I've seen that movie too, it was pretty good. Netflix is putting out some good original movies lately. I haven't, what is it about? Yes they are. i agree with that. what action movies do you recommend? I like a lot of suspenseful movies. action and horror. recently saw the movie Joker. was really good I'd recommend Avengers: Endgame. It was such an awesome movie, and it lived up to all the hype. It is about a cop starting his first day as a narcotics officer with denzel washington. Denzels acting is very good in this movie. lots of action and twists Sounds good! I'm thinking about watching The Irishman soon, you might like it if you like crime dramas. I am well. how are you? Hello, how are you? I just Recently saw the movie Bright with Will smith. was a pretty good movie Do you usually like movies that involve superheroes, like Batman? Have you seen any good action movies besides the Joker recently? I will have to look that one up too. thanks for the info on that one. I'm doing well! What kind of movies do you like to watch? I have seen all of them besides end game. i loved thanos. he was an awesome bad guy for a movie. have you seen the movie training day? Have you seen any of the Avengers movies? Yes i do like most superhero movies"
